Sample,Mean_Coverage,Location
D100,2.6835,Månes/Tosken
D109,0.3507,Bugøynes
D10,0.3912,Alta
D110,0.6769,Bugøynes
D111,0.1214,Bugøynes
D112,0.1555,Bugøynes
D113,1.4386,Bugøynes
D114,0.1612,Bugøynes
D11,2.8292,Månes/Tosken
D12,3.4218,Andøya
D13,0.8971,Månes/Tosken
D14,1.3623,Nordkapp
D15,0.0883,Nordkapp
D16,1.4148,Månes/Tosken
D17,3.9498,Andøya
D18,0.1725,Bugøynes
D20,0.5746,Nordkapp
D21,0.0198,Andøya
D22,0.6077,Nordkapp
D23,0.0057,Månes/Tosken
D24,3.4895,Nordkapp
D26,2.6509,Andøya
D27,0.916,Nordkapp
D2,3.9184,Andøya
D30,2.3421,Andøya
D31,0.1221,Bugøynes
D32,3.8265,Alta
D33,0.3365,Månes/Tosken
D34,4.2524,Alta
D35,0.6939,Bugøynes
D36,3.7767,Andøya
D37,0.1535,Nordkapp
D3,0.5218,Andøya
D40,0.3315,Bugøynes
D42,0.3255,Andøya
D44,0.4315,Nordkapp
D45,0.6037,Alta
D46,0.0213,Andøya
D47,0.1946,Bugøynes
D4,0.5992,Nordkapp
D51,0.2654,Nordkapp
D53,1.0932,Nordkapp
D54,0.1633,Andøya
D55,0.5015,Nordkapp
D60,3.3541,Andøya
D64,0.7301,Andøya
D65,0.3813,Alta
D69,0.7913,Andøya
D70,2.9044,Andøya
D71,3.8826,Alta
D73,2.0124,Månes/Tosken
D75,0.171,Bugøynes
D77,0.2824,Bugøynes
D79,0.8686,Månes/Tosken
D7,0.9101,Månes/Tosken
D81,0.2649,Bugøynes
D82,0.4484,Bugøynes
D83,1.8039,Alta
D84,1.0198,Bugøynes
D85,4.2354,Alta
D87,1.035,Alta
D88,5.0151,Månes/Tosken
D8,0.8924,Andøya
D90,0.4885,Alta
D92,4.0185,Månes/Tosken
D93,0.0159,Alta
D97,0.4744,Bugøynes
D9,1.2898,Nordkapp
MG104,0.2867,Bugøynes
MG38,4.3662,Alta
MG41,1.2155,Nordkapp
MG48,1.1414,Nordkapp
MG54,0.2203,Andøya
MG59,0.4748,Nordkapp
MG98,0.6775,Månes/Tosken
MG99,0.4059,Bugøynes
Alta_12_0001,10.2006,Alta
Alta_12_0124,15.5198,Alta
Alta_12_0228,10.8355,Alta
Arga_12_0075,10.6117,Aargaardsvassdraget
Arga_12_0082,12.8286,Aargaardsvassdraget
Arga_12_0089,18.5622,Aargaardsvassdraget
Jols_13_0001,14.7581,Joelstra
Jols_13_0009,11.9305,Joelstra
Jols_13_0027,10.3933,Joelstra
Nams_12_0024,14.8389,Namsen
Nams_12_0071,14.6862,Namsen
Naus_12_0014,13.2739,Nausta
Naus_12_0037,10.5334,Nausta
Naus_12_0059,16.497,Nausta
Repp_12_0007,11.5472,Repparfjordelva
Repp_12_0023,9.2259,Repparfjordelva
Repp_12_0034,17.737,Repparfjordelva
Uts_11_15,9.6352,Utsjoki
Uts_11_17,26.1973,Utsjoki
Uts_11_24,12.5209,Utsjoki